id,p0,p1,p2,p3,p4,p5,p6
611,3.150876e-06,4.7169775e-07,1.0086538e-09,0.9999954,1.9385906e-08,9.467983e-07,3.4539976e-08
6417,7.1832306e-05,2.2675347e-06,0.9999031,3.6082586e-08,5.3545346e-06,4.402329e-06,1.31231345e-05
3352,8.662557e-06,4.844533e-07,1.9367767e-09,0.9999592,2.8016988e-05,1.7627889e-06,2.0088444e-06
4224,5.814211e-09,0.9999927,1.890602e-08,5.676624e-07,9.0164315e-07,5.6763242e-06,5.2586607e-08
3102,2.2604365e-05,0.010795924,8.609515e-06,9.2789645e-07,1.1697467e-06,2.1767935e-08,0.9891708
6793,3.2185457e-07,1.2579402e-06,5.594164e-09,0.9999968,1.1450911e-06,2.9706277e-07,2.3724184e-07
5477,0.0012691724,0.00023597812,5.1770377e-05,0.00012704235,0.0007326795,2.0113998e-06,0.9975814
561,8.966151e-06,2.1173269e-06,0.00014632396,3.302825e-06,0.9998374,1.490621e-07,1.817639e-06
5839,4.1266173e-09,0.99999857,4.091625e-08,1.5896792e-07,1.5169971e-07,8.0099346e-07,2.614496e-07
476,3.9476765e-07,1.4488853e-06,2.8109444e-08,0.99998087,1.5358331e-05,6.439752e-07,1.2160473e-06
2759,1.066275e-07,2.6139949e-06,1.2936047e-10,0.9999904,3.2345326e-08,6.8403397e-06,6.641114e-09
5882,0.9970602,7.2138515e-05,8.505508e-06,5.342369e-07,0.00019299977,5.8676046e-06,0.002659793
811,0.9991782,5.95781e-06,7.490937e-06,3.0647533e-07,0.00026941285,3.960039e-06,0.00053474674
2656,3.5421745e-05,3.6062086e-06,1.2312462e-05,2.8052068e-07,0.9999444,2.868437e-07,3.5577361e-06
2858,8.598684e-06,1.0232944e-06,0.99996215,3.252147e-08,9.299013e-06,1.4629444e-06,1.7452237e-05
3825,0.00022245618,7.076274e-06,0.9993716,3.34386e-05,0.00011110705,0.00018746805,6.6787325e-05
3955,4.8469e-05,2.0624966e-06,4.9194855e-06,1.1907017e-06,4.14443e-06,1.314555e-06,0.99993783
3822,0.06054034,0.00011786915,0.00016884346,1.6060981e-06,0.0017922755,2.370562e-07,0.9373788
5422,2.1459335e-05,2.7236962e-05,1.3669316e-05,6.5283655e-07,0.999928,3.821331e-09,9.107719e-06
393,1.1702273e-05,1.9915096e-06,2.6322023e-06,4.6413806e-08,2.9394605e-06,7.86507e-08,0.99998075
538,1.1258889e-05,5.2729476e-05,0.99963266,6.265703e-06,0.00023996999,4.7207344e-05,1.0022661e-05
2417,0.8932642,1.6117143e-05,1.7829128e-05,2.24283e-06,0.00046314616,3.6713525e-06,0.106232904
1421,0.00030429068,9.4174027e-07,5.086637e-06,0.9996159,7.272501e-05,6.35635e-08,9.383967e-07
2486,7.8943316e-08,2.9496076e-07,1.994469e-08,0.99999535,1.3824427e-06,2.3439463e-06,5.8236805e-07
2654,1.8630272e-08,1.2656144e-06,2.5172338e-09,5.7655734e-07,5.6583277e-10,0.9999979,2.2923943e-07
496,0.00068248337,0.0002083326,3.946122e-05,1.0753604e-06,0.0014046729,1.5727461e-07,0.9976638
2876,3.1478747e-05,5.3503175e-07,3.0743623e-09,0.9999611,5.598047e-06,8.139378e-08,1.2902879e-06
2398,1.8721872e-05,1.2107512e-07,1.812927e-06,6.775066e-06,3.3484408e-08,0.9999722,3.4177705e-07
2114,0.0012870128,8.071732e-06,4.933179e-05,8.5383515e-05,0.9976706,4.186601e-08,0.00089971354
